#SampleID,Wildfire,Library,SampleNum,SiteID,Plot,Subplot,TimePoint,Date,SampleType,SoilDepth,Longitude,Latitude,Aspect,Slope,Treatment,BAERsbs,AshSeverity,InitialAshDepth,Elev,TSFdays,TSFweeks,TSFmonths,TotalSolarRad,AvgSolarRad,AvgWind,AvgAirTemp,AvgFuelTemp,AvgHumidity,TotalPrecip,AvgPrecip
B7HolyCNF5ST2,HolyFire,Lib1,7,CNF05STP2,CNF05,5S,TP2,10/8/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,8.25,1200,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B80HolyCNF8WbT5,HolyFire,Lib3,80,CNF08WTP5,CNF08,8W,TP5,12/17/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B81HolyCNF8SbT5,HolyFire,Lib3,81,CNF08STP5,CNF08,8S,TP5,12/17/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B82HolyCNF8EbT5,HolyFire,Lib3,82,CNF08ETP5,CNF08,8E,TP5,12/17/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B83HolyCNF2NbT5,HolyFire,Lib3,83,CNF02NTP5,CNF02,2N,TP5,12/17/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B84HolyCNF2EbT5,HolyFire,Lib3,84,CNF02ETP5,CNF02,2E,TP5,12/17/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,Moderate,4,1265,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B85HolyCNF2SbT5,HolyFire,Lib3,85,CNF02STP5,CNF02,2S,TP5,12/17/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B86HolyCNF2WbT5,HolyFire,Lib3,86,CNF02WTP5,CNF02,2W,TP5,12/17/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B87HolyCNF1NbT5,HolyFire,Lib3,87,CNF01NTP5,CNF01,1N,TP5,12/17/18,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7,1232,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B88HolyCNF1EbT5,HolyFire,Lib3,88,CNF01ETP5,CNF01,1E,TP5,12/17/18,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Low,1,1232,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B89HolyCNF1SbT5,HolyFire,Lib3,89,CNF01STP5,CNF01,1S,TP5,12/17/18,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7.5,1232,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B8HolyCNF5WT2,HolyFire,Lib3,8,CNF05WTP2,CNF05,F5,TP2,10/8/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,7.75,1200,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B90HolyCNF1WbT5,HolyFire,Lib3,90,CNF01WTP5,CNF01,1W,TP5,12/17/18,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Moderate,4,1232,95,13,3,89.22,2.88,3.6,12,11.4,50,50.55,1.63
B91HolyCNF7NbT4,HolyFire,Lib3,91,CNF07NTP4,CNF07,7N,TP4,11/19/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
